"YEAR","MONTH","DAY","STID","TMAX","TMIN","HAVG","WSMX","WSMN","RAIN","SAVG"
2016,1,28,ALTU,69.67,25.08,62.99,12.56,0.78,0.00,43.48
2016,1,28,BEAV,67.78,20.80,53.22,16.04,0.83,0.00,38.94
2016,1,28,NRMN,67.80,29.92,50.46,21.14,0.00,0.00,42.12
2016,1,28,TISH,66.85,26.63,57.50,12.84,1.10,0.00,42.57
2016,1,28,TULN,65.46,34.69,46.41,12.92,0.54,0.00,42.16
2016,1,29,ALTU,80.02,31.12,50.41,27.18,4.82,0.00,45.20
2016,1,29,BEAV,75.31,21.49,57.61,30.40,0.21,0.00,40.23
2016,1,29,NRMN,76.14,41.75,41.18,23.20,0.09,0.00,43.86
2016,1,29,TISH,73.81,32.49,53.71,26.60,1.23,0.00,44.72
2016,1,29,TULN,75.00,33.54,45.60,22.91,0.13,0.00,43.39
2016,1,30,ALTU,81.48,32.63,47.88,30.80,1.09,0.00,46.87
2016,1,30,BEAV,73.92,23.27,56.85,18.19,0.06,0.00,41.26
2016,1,30,NRMN,75.24,33.76,50.43,19.82,0.10,0.00,45.57
2016,1,30,TISH,70.81,37.22,51.18,20.24,0.82,0.00,47.42
2016,1,30,TULN,70.86,38.93,47.98,20.49,1.06,0.00,45.30
2016,1,31,ALTU,60.46,39.58,58.10,23.58,4.39,0.00,47.94
2016,1,31,BEAV,54.97,30.29,60.47,21.63,2.23,0.00,42.80
2016,1,31,NRMN,62.46,39.35,54.32,20.40,3.64,0.00,47.71
2016,1,31,TISH,65.62,45.95,59.14,19.91,5.61,0.00,50.76
2016,1,31,TULN,63.84,45.25,54.98,20.15,1.55,0.00,47.61
2016,2,1,ALTU,64.83,31.48,75.55,35.21,1.20,0.50,47.12
2016,2,1,BEAV,50.49,21.21,74.83,27.81,0.12,0.29,40.45
2016,2,1,NRMN,66.61,35.57,67.68,32.19,1.85,0.56,46.68
2016,2,1,TISH,67.01,38.55,72.84,23.49,2.17,0.00,49.56
2016,2,1,TULN,65.01,36.35,62.21,14.60,0.49,0.00,46.68
2016,2,2,ALTU,50.54,30.59,64.59,29.12,8.25,0.00,46.46
2016,2,2,BEAV,35.67,22.17,79.75,-996.00,-996.00,0.00,38.56
2016,2,2,NRMN,52.74,34.28,62.92,24.54,0.91,0.07,47.30
2016,2,2,TISH,63.03,37.58,54.94,22.39,3.00,0.00,50.59
2016,2,2,TULN,59.05,37.16,59.90,23.35,4.76,0.15,47.89
2016,2,3,ALTU,46.03,24.07,68.41,16.82,0.72,0.00,43.57
2016,2,3,BEAV,41.36,16.95,70.38,20.96,1.84,0.00,36.15
2016,2,3,NRMN,42.85,28.68,60.32,25.77,0.60,0.00,43.57
2016,2,3,TISH,47.01,26.50,58.81,16.70,2.14,0.00,43.95
2016,2,3,TULN,44.41,29.58,52.75,17.73,2.25,0.00,44.86
2016,2,4,ALTU,50.97,25.24,64.16,14.25,0.26,0.00,43.02
2016,2,4,BEAV,48.51,14.27,60.59,20.67,1.76,0.00,35.52
2016,2,4,NRMN,50.04,22.47,57.85,15.62,0.27,0.00,41.31
2016,2,4,TISH,51.62,23.03,59.27,12.33,0.00,0.00,41.77
2016,2,4,TULN,50.74,23.81,48.72,14.16,1.61,0.00,42.25
2016,2,5,ALTU,56.12,29.89,58.99,24.56,1.13,0.00,42.79
2016,2,5,BEAV,44.07,21.89,61.65,18.05,2.24,0.00,35.85
2016,2,5,NRMN,55.47,33.74,45.09,17.82,3.05,0.00,41.91
2016,2,5,TISH,55.74,22.33,58.94,17.52,0.00,0.00,41.92
2016,2,5,TULN,56.84,29.90,42.41,13.79,0.00,0.00,42.80
2016,2,6,ALTU,53.31,29.28,60.15,23.49,1.06,0.00,43.72
2016,2,6,BEAV,56.01,18.57,51.28,19.17,5.36,0.00,36.55
2016,2,6,NRMN,51.49,37.92,59.99,10.99,0.93,0.00,44.66
2016,2,6,TISH,53.47,35.53,73.90,8.86,0.37,0.16,46.29
2016,2,6,TULN,55.09,37.78,50.66,12.00,0.22,0.00,44.65
2016,2,7,ALTU,61.66,27.24,55.04,27.22,1.50,0.00,44.01
2016,2,7,BEAV,56.07,23.55,47.76,27.27,1.13,0.00,38.34
2016,2,7,NRMN,59.70,33.12,50.73,19.62,3.48,0.00,44.42
2016,2,7,TISH,62.37,28.34,62.61,16.72,0.57,0.00,44.98
2016,2,7,TULN,59.34,37.53,47.93,15.97,3.88,0.00,44.44
2016,2,8,ALTU,55.98,27.99,39.35,31.41,2.73,0.00,43.30
2016,2,8,BEAV,49.50,23.74,42.63,26.93,5.86,0.00,38.12
2016,2,8,NRMN,50.22,30.63,32.38,35.81,6.18,0.00,43.34
2016,2,8,TISH,51.85,36.15,30.21,29.71,5.28,0.00,43.10
2016,2,8,TULN,48.16,34.16,36.94,25.64,6.91,0.00,43.48
2016,2,9,ALTU,62.65,26.54,58.33,18.28,0.73,0.00,43.27
2016,2,9,BEAV,58.93,22.08,60.61,24.63,0.07,0.00,38.57
2016,2,9,NRMN,52.25,26.94,45.23,24.40,0.00,0.00,41.89
2016,2,9,TISH,55.45,30.80,40.66,21.12,3.48,0.00,41.35
2016,2,9,TULN,46.15,27.93,43.17,23.13,4.33,0.00,42.00
2016,2,10,ALTU,81.64,27.62,53.39,22.12,0.07,0.00,44.79
2016,2,10,BEAV,81.45,24.44,43.60,18.37,0.00,0.00,40.71
2016,2,10,NRMN,72.00,24.78,45.76,22.82,0.00,0.00,42.47
2016,2,10,TISH,69.87,23.29,53.27,18.12,0.00,0.00,42.91
2016,2,10,TULN,68.34,24.20,39.42,15.31,0.00,0.00,41.80
2016,2,11,ALTU,63.79,35.38,55.02,15.22,2.25,0.00,46.86
2016,2,11,BEAV,67.35,26.83,53.22,13.37,0.13,0.00,42.54
2016,2,11,NRMN,62.01,35.95,52.32,13.03,0.00,0.00,45.09
2016,2,11,TISH,67.33,42.82,43.76,15.43,4.19,0.00,46.97
2016,2,11,TULN,54.63,33.32,52.70,15.02,0.00,0.00,43.66
2016,2,12,ALTU,65.19,31.50,68.86,18.99,0.86,0.00,47.18
2016,2,12,BEAV,59.61,27.28,67.03,14.71,2.06,0.00,43.30
2016,2,12,NRMN,60.93,31.15,62.22,13.26,0.00,0.00,45.30
2016,2,12,TISH,66.02,33.47,53.05,16.36,0.88,0.00,47.22
2016,2,12,TULN,50.90,30.58,60.54,15.92,0.00,0.00,43.26
2016,2,13,ALTU,61.03,28.13,71.24,16.56,1.64,0.00,46.61
2016,2,13,BEAV,64.08,19.09,73.37,21.00,0.00,0.00,42.32
2016,2,13,NRMN,58.75,30.36,55.51,15.47,5.15,0.00,45.24
2016,2,13,TISH,58.37,34.43,56.79,15.74,6.21,0.00,46.52
2016,2,13,TULN,52.54,27.26,42.56,13.37,4.52,0.00,43.24
2016,2,14,ALTU,57.60,41.49,74.30,24.99,3.65,0.00,47.42
2016,2,14,BEAV,57.16,25.81,57.30,18.72,0.78,0.00,43.47
2016,2,14,NRMN,57.79,42.86,70.69,16.10,1.02,0.00,46.83
2016,2,14,TISH,62.85,46.16,78.23,14.53,2.79,0.00,49.20
2016,2,14,TULN,57.97,38.13,50.44,15.33,0.00,0.00,44.57
2016,2,15,ALTU,69.71,33.79,53.50,14.87,2.25,0.00,48.07
2016,2,15,BEAV,67.77,30.14,47.88,23.51,2.41,0.00,45.31
2016,2,15,NRMN,62.96,38.68,50.21,18.37,0.00,0.00,47.49
2016,2,15,TISH,66.00,37.39,57.41,17.78,0.00,0.00,50.70
2016,2,15,TULN,64.51,37.65,51.82,15.51,0.02,0.00,45.61
2016,2,16,ALTU,64.56,38.08,46.34,24.61,1.70,0.00,48.91
2016,2,16,BEAV,57.65,33.33,50.93,20.38,0.10,0.00,45.39
2016,2,16,NRMN,60.78,36.79,42.24,28.21,0.00,0.00,48.01
2016,2,16,TISH,65.73,38.40,43.24,19.89,2.73,0.00,49.16
2016,2,16,TULN,59.49,40.12,43.95,23.64,0.51,0.00,46.66
2016,2,17,ALTU,72.21,33.31,52.58,20.42,0.07,0.00,48.42
2016,2,17,BEAV,73.06,24.40,42.02,28.27,1.08,0.00,45.70
2016,2,17,NRMN,70.59,32.34,47.38,17.28,0.00,0.00,47.36
2016,2,17,TISH,68.88,30.82,54.70,15.63,0.00,0.00,48.45
2016,2,17,TULN,70.88,33.02,47.71,15.37,0.00,0.00,46.19
2016,2,18,ALTU,85.53,42.82,56.38,28.01,7.28,0.00,51.40
2016,2,18,BEAV,89.65,50.67,31.56,40.40,9.40,0.00,50.05
2016,2,18,NRMN,75.94,51.51,47.71,27.27,7.58,0.00,50.19
2016,2,18,TISH,71.73,47.55,54.08,26.78,5.48,0.00,51.43
2016,2,18,TULN,-996.00,-996.00,42.43,31.83,7.69,0.00,48.77
2016,2,19,ALTU,75.25,51.10,54.74,23.85,0.66,0.00,54.66
2016,2,19,BEAV,72.66,46.62,20.34,20.04,1.39,0.00,52.16
2016,2,19,NRMN,74.64,56.50,47.58,20.87,2.43,0.00,53.66
2016,2,19,TISH,74.44,58.15,74.25,23.64,2.13,0.00,57.12
2016,2,19,TULN,-996.00,-996.00,41.93,27.11,1.15,0.00,52.07
2016,2,20,ALTU,85.93,40.61,51.86,19.91,0.27,0.00,54.79
2016,2,20,BEAV,75.43,33.99,31.36,23.62,2.08,0.00,51.48
