"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,10,26,NRMN,81.09,57.34
2016,10,27,NRMN,82.51,55.78
2016,10,28,NRMN,84.31,64.40
2016,10,29,NRMN,83.01,61.95
2016,10,30,NRMN,68.23,55.98
2016,10,31,NRMN,84.31,52.61
2016,11,1,NRMN,82.67,63.12
2016,11,2,NRMN,82.54,63.70
2016,11,3,NRMN,71.64,58.12
2016,11,4,NRMN,66.07,56.61
2016,11,5,NRMN,73.45,57.74
2016,11,6,NRMN,68.74,54.77
2016,11,7,NRMN,63.64,59.09
2016,11,8,NRMN,61.05,56.84
2016,11,9,NRMN,66.52,41.54
2016,11,10,NRMN,70.48,37.14
2016,11,11,NRMN,70.66,47.23
2016,11,12,NRMN,64.58,41.29
2016,11,13,NRMN,68.22,37.67
2016,11,14,NRMN,67.55,46.11
2016,11,15,NRMN,81.28,41.60
2016,11,16,NRMN,84.04,44.35
2016,11,17,NRMN,78.08,59.04
2016,11,18,NRMN,68.63,38.96
2016,11,19,NRMN,50.99,27.07
2016,11,20,NRMN,63.63,33.33
2016,11,21,NRMN,69.57,41.43
2016,11,22,NRMN,75.06,46.69
2016,11,23,NRMN,59.68,37.65
2016,11,24,NRMN,67.42,35.79
2016,11,25,NRMN,56.73,32.86
2016,11,26,NRMN,63.48,24.95
2016,11,27,NRMN,62.82,48.76
2016,11,28,NRMN,64.67,45.90
2016,11,29,NRMN,61.05,39.46
2016,11,30,NRMN,55.29,31.42
2016,12,1,NRMN,62.38,26.06
2016,12,2,NRMN,59.54,30.62
2016,12,3,NRMN,46.74,43.62
2016,12,4,NRMN,53.96,34.65
2016,12,5,NRMN,50.90,30.66
2016,12,6,NRMN,45.60,30.09
2016,12,7,NRMN,39.50,25.98
2016,12,8,NRMN,34.39,21.62
2016,12,9,NRMN,34.91,17.61
2016,12,10,NRMN,47.59,33.61
2016,12,11,NRMN,64.85,33.99
2016,12,12,NRMN,46.78,25.21
2016,12,13,NRMN,40.21,26.44
2016,12,14,NRMN,38.17,22.40
2016,12,15,NRMN,35.85,21.84
2016,12,16,NRMN,66.92,35.66
2016,12,17,NRMN,63.36,9.30
2016,12,18,NRMN,20.78,4.28
2016,12,19,NRMN,36.25,7.52
2016,12,20,NRMN,55.22,25.03
2016,12,21,NRMN,64.67,23.58
2016,12,22,NRMN,43.26,29.80
2016,12,23,NRMN,51.13,31.49
2016,12,24,NRMN,60.55,30.71
2016,12,25,NRMN,74.05,54.43
2016,12,26,NRMN,65.28,35.40
2016,12,27,NRMN,60.04,25.62
2016,12,28,NRMN,63.95,47.34
2016,12,29,NRMN,53.01,30.68
2016,12,30,NRMN,58.95,24.69
2016,12,31,NRMN,57.29,33.42
