"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,2,7,CENT,63.45,28.93
2016,2,7,NRMN,59.70,33.12
2016,2,7,STIL,58.21,30.15
2016,2,7,TISH,62.37,28.34
2016,2,7,TULN,59.34,37.53
2016,2,7,WOOD,57.51,29.64
2016,2,8,ARD2,53.06,37.70
2016,2,8,BEAV,49.50,23.74
2016,2,8,BOIS,49.75,18.45
2016,2,8,CENT,52.81,34.47
2016,2,8,NRMN,50.22,30.63
2016,2,8,STIL,48.16,32.96
2016,2,8,TISH,51.85,36.15
2016,2,8,TULN,48.16,34.16
2016,2,8,WOOD,48.83,30.84
2016,2,9,ARD2,56.14,29.47
2016,2,9,BEAV,58.93,22.08
2016,2,9,BOIS,63.12,29.20
2016,2,9,CENT,54.21,26.14
2016,2,9,NRMN,52.25,26.94
2016,2,9,STIL,47.03,29.14
2016,2,9,TISH,55.45,30.80
2016,2,9,TULN,46.15,27.93
2016,2,9,WOOD,54.55,28.33
2016,2,10,ARD2,73.98,29.69
2016,2,10,BEAV,81.45,24.44
2016,2,10,BOIS,77.25,27.47
2016,2,10,CENT,67.14,23.27
2016,2,10,NRMN,72.00,24.78
2016,2,10,STIL,73.96,26.09
2016,2,10,TISH,69.87,23.29
2016,2,10,TULN,68.34,24.20
2016,2,10,WOOD,81.61,27.67
2016,2,11,ARD2,69.98,43.07
2016,2,11,BEAV,67.35,26.83
2016,2,11,BOIS,68.99,24.47
2016,2,11,CENT,66.36,33.81
2016,2,11,NRMN,62.01,35.95
2016,2,11,STIL,56.41,30.76
2016,2,11,TISH,67.33,42.82
2016,2,11,TULN,54.63,33.32
2016,2,11,WOOD,60.84,33.68
2016,2,12,ARD2,68.27,35.36
2016,2,12,BEAV,59.61,27.28
2016,2,12,BOIS,62.49,27.92
2016,2,12,CENT,65.62,27.76
2016,2,12,NRMN,60.93,31.15
2016,2,12,STIL,52.84,26.69
2016,2,12,TISH,66.02,33.47
2016,2,12,TULN,50.90,30.58
2016,2,12,WOOD,57.11,29.32
2016,2,13,ARD2,60.13,34.28
2016,2,13,BEAV,64.08,19.09
2016,2,13,BOIS,76.71,24.11
2016,2,13,CENT,57.90,33.17
2016,2,13,NRMN,58.75,30.36
2016,2,13,STIL,54.12,28.05
2016,2,13,TISH,58.37,34.43
2016,2,13,TULN,52.54,27.26
2016,2,13,WOOD,56.07,23.23
2016,2,14,ARD2,66.52,47.70
2016,2,14,BEAV,57.16,25.81
2016,2,14,BOIS,55.22,29.04
2016,2,14,CENT,58.78,46.44
2016,2,14,NRMN,57.79,42.86
2016,2,14,STIL,57.79,35.17
2016,2,14,TISH,62.85,46.16
2016,2,14,TULN,57.97,38.13
2016,2,14,WOOD,56.80,28.89
2016,2,15,ARD2,66.33,44.24
2016,2,15,BEAV,67.77,30.14
2016,2,15,BOIS,64.42,24.76
2016,2,15,CENT,66.92,36.43
2016,2,15,NRMN,62.96,38.68
2016,2,15,STIL,62.38,35.74
2016,2,15,TISH,66.00,37.39
2016,2,15,TULN,64.51,37.65
2016,2,15,WOOD,66.13,36.56
2016,2,16,ARD2,65.68,42.70
2016,2,16,BEAV,57.65,33.33
2016,2,16,BOIS,57.36,30.76
2016,2,16,CENT,65.86,36.86
2016,2,16,NRMN,60.78,36.79
2016,2,16,STIL,58.57,32.50
2016,2,16,TISH,65.73,38.40
2016,2,16,TULN,59.49,40.12
2016,2,16,WOOD,58.60,36.22
2016,2,17,ARD2,69.93,33.74
2016,2,17,BEAV,73.06,24.40
2016,2,17,BOIS,72.48,28.95
2016,2,17,CENT,69.64,29.16
2016,2,17,NRMN,70.59,32.34
2016,2,17,STIL,72.70,28.84
2016,2,17,TISH,68.88,30.82
2016,2,17,TULN,70.88,33.02
2016,2,17,WOOD,74.34,34.80
2016,2,18,ARD2,73.76,50.32
2016,2,18,BEAV,89.65,50.67
2016,2,18,BOIS,83.82,44.34
2016,2,18,CENT,73.26,48.36
2016,2,18,NRMN,75.94,51.51
2016,2,18,STIL,78.40,49.98
2016,2,18,TISH,71.73,47.55
2016,2,18,TULN,-996.00,-996.00
2016,2,18,WOOD,87.31,50.63
2016,2,19,ARD2,76.78,57.90
2016,2,19,BEAV,72.66,46.62
2016,2,19,BOIS,68.86,36.60
2016,2,19,CENT,72.86,60.44
2016,2,19,NRMN,74.64,56.50
2016,2,19,STIL,74.75,49.80
2016,2,19,TISH,74.44,58.15
2016,2,19,TULN,-996.00,-996.00
2016,2,19,WOOD,72.70,51.40
2016,2,20,ARD2,80.37,62.28
2016,2,20,BEAV,75.43,33.99
2016,2,20,BOIS,67.21,32.46
2016,2,20,CENT,78.08,60.33
2016,2,20,NRMN,82.60,53.65
2016,2,20,STIL,79.47,47.80
2016,2,20,TISH,78.10,59.94
2016,2,20,TULN,-996.00,-996.00
2016,2,20,WOOD,76.06,46.71
2016,2,21,ARD2,69.37,54.91
2016,2,21,BEAV,59.92,33.01
2016,2,21,BOIS,53.22,28.93
2016,2,21,CENT,68.76,54.90
2016,2,21,NRMN,64.92,48.38
2016,2,21,STIL,65.17,39.30
2016,2,21,TISH,67.41,54.95
2016,2,21,TULN,-996.00,-996.00
2016,2,21,WOOD,61.74,37.03
2016,2,22,ARD2,66.42,45.59
2016,2,22,BEAV,58.44,22.96
2016,2,22,BOIS,54.52,20.88
2016,2,22,CENT,65.86,44.83
2016,2,22,NRMN,61.41,38.15
2016,2,22,STIL,57.63,29.74
2016,2,22,TISH,65.12,44.60
2016,2,22,TULN,-996.00,-996.00
2016,2,22,WOOD,56.43,27.38
2016,2,23,ARD2,47.37,39.47
2016,2,23,BEAV,52.03,25.90
2016,2,23,BOIS,46.78,22.98
2016,2,23,CENT,50.05,37.15
2016,2,23,NRMN,50.20,39.60
2016,2,23,STIL,48.52,40.79
2016,2,23,TISH,48.85,38.94
2016,2,23,TULN,46.51,39.00
2016,2,23,WOOD,51.53,32.06
2016,2,24,ARD2,58.05,36.92
2016,2,24,BEAV,61.39,21.44
2016,2,24,BOIS,58.24,18.75
2016,2,24,CENT,57.04,33.45
2016,2,24,NRMN,58.35,33.79
2016,2,24,STIL,56.73,32.89
2016,2,24,TISH,56.32,36.14
2016,2,24,TULN,54.81,34.65
2016,2,24,WOOD,60.93,26.87
2016,2,25,ARD2,51.76,36.34
2016,2,25,BEAV,50.38,20.41
2016,2,25,BOIS,48.02,15.35
2016,2,25,CENT,52.05,28.58
2016,2,25,NRMN,49.87,29.91
2016,2,25,STIL,49.03,25.26
2016,2,25,TISH,51.82,29.32
2016,2,25,TULN,50.49,31.99
2016,2,25,WOOD,49.19,25.74
2016,2,26,ARD2,60.48,28.30
2016,2,26,BEAV,67.86,23.26
2016,2,26,BOIS,63.36,24.50
2016,2,26,CENT,58.98,22.52
2016,2,26,NRMN,59.97,23.73
2016,2,26,STIL,62.02,19.54
2016,2,26,TISH,58.96,22.13
2016,2,26,TULN,60.62,27.47
2016,2,26,WOOD,67.42,29.38
2016,2,27,ARD2,70.74,35.58
2016,2,27,BEAV,79.20,21.93
2016,2,27,BOIS,75.70,32.72
2016,2,27,CENT,71.22,33.50
2016,2,27,NRMN,71.89,34.41
2016,2,27,STIL,74.91,28.40
2016,2,27,TISH,70.66,30.04
2016,2,27,TULN,75.31,39.73
2016,2,27,WOOD,76.53,34.64
2016,2,28,ARD2,74.59,52.56
